Amount,Currency,Rate,Provider,Region,Payment Status,Payment Channel,Mode,Provider Message,Payment Date,,,,,,,,,,,,,,
5000,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T09:23:38Z,,,,,,,,,,,,,,
20,USD,139.42,cellulant,Kenya,abandoned,mobile_money,LIVE,You will receive a prompt on your mobile number 254701516160 to authorize a payment of KES 2788.4 for SPOTFLOW,2025-11-15T09:18:08Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T09:13:48Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T09:10:31Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T09:09:23Z,,,,,,,,,,,,,,
8,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T09:03:09Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T08:59:39Z,,,,,,,,,,,,,,
1000,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T08:55:46Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T08:55:23Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T08:52:53Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T08:52:45Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T08:52:31Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T08:51:52Z,,,,,,,,,,,,,,
30,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T08:51:09Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,"The MTN Mobile Money user has reached counter or balance limits""",Audiomack Inc.,8,USD,12.63,hubtel,Ghana,jxndx62yrv@privaterelay.appleid.com,successful,,mobile_money,LIVE,success,,,2025-11-15T08:39:50Z
5,USD,12.63,paystack,Ghana,failed,card,LIVE,,2025-11-15T08:37:54Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T08:35:42Z,,,,,,,,,,,,,,
15,USD,12.63,paystack,Ghana,failed,card,LIVE,,2025-11-15T08:35:24Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T08:33:44Z,,,,,,,,,,,,,,
100,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T08:32:45Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T08:22:59Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T08:21:19Z,,,,,,,,,,,,,,
100,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T08:20:20Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,"The MTN Mobile Money user has reached counter or balance limits""",Audiomack Inc.,5,USD,1499.85,spotflow_accounts,Nigeria,sinzuissinzu@gmail.com,abandoned,8852875254,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,,,2025-11-15T08:05:09Z
20,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T08:04:22Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T07:59:45Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T07:48:20Z,,,,,,,,,,,,,,
10,USD,18.19,ozow,South Africa,failed,eft,LIVE,,2025-11-15T07:40:46Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T07:38:28Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T07:38:05Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T07:18:02Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T07:01:03Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T06:59:06Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T06:58:09Z,,,,,,,,,,,,,,
100,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T06:57:20Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T06:55:53Z,,,,,,,,,,,,,,
500,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T06:55:38Z,,,,,,,,,,,,,,
100,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T06:41:52Z,,,,,,,,,,,,,,
10,USD,1499.85,paystack,Nigeria,successful,card,LIVE,,2025-11-15T06:27:20Z,,,,,,,,,,,,,,
20,USD,18.19,ozow,South Africa,cancelled,eft,LIVE,Transaction was cancelled,2025-11-15T06:21:33Z,,,,,,,,,,,,,,
20,USD,18.19,ozow,South Africa,cancelled,eft,LIVE,Transaction was cancelled,2025-11-15T06:15:12Z,,,,,,,,,,,,,,
15,USD,18.19,ozow,South Africa,failed,eft,LIVE,,2025-11-15T06:12:58Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T06:10:14Z,,,,,,,,,,,,,,
5,USD,1499.85,paystack,Nigeria,abandoned,card,LIVE,fellback-BnF,2025-11-15T06:06:59Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T05:51:02Z,,,,,,,,,,,,,,
10,USD,18.19,ozow,South Africa,abandoned,eft,LIVE,Internet banking session timed out,2025-11-15T05:44:18Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,"The MTN Mobile Money user has reached counter or balance limits""",Audiomack Inc.,5,USD,12.63,hubtel,Ghana,rashadadam2211@gmail.com,failed,,mobile_money,LIVE,Please enter the one time password sent to your phone,,,2025-11-15T05:39:49Z
5,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,The OTP provided is incorrect. Please check again,2025-11-15T05:37:28Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,The OTP provided is incorrect. Please check again,2025-11-15T05:36:07Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T05:26:55Z,,,,,,,,,,,,,,
1000,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T05:26:27Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T05:24:27Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T05:23:27Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T05:22:46Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T05:21:40Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T05:21:17Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T05:20:15Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T05:19:04Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T05:16:19Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T05:16:15Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T05:09:26Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T05:08:48Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T05:05:13Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,Please enter the one time password sent to your phone,2025-11-15T05:03:43Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T04:55:15Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T04:46:29Z,,,,,,,,,,,,,,
5,USD,2627.66,tembo_plus,Tanzania,successful,mobile_money,LIVE,Payment completed,2025-11-15T04:45:09Z,,,,,,,,,,,,,,
10,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T04:44:27Z,,,,,,,,,,,,,,
10,USD,12.63,hubtel,Ghana,cancelled,mobile_money,LIVE,Please enter the one time password sent to your phone,2025-11-15T04:43:39Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,Please enter the one time password sent to your phone,2025-11-15T04:31:34Z,,,,,,,,,,,,,,
5,USD,18.19,ozow,South Africa,failed,eft,LIVE,,2025-11-15T04:26:51Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,"The MTN Mobile Money user has reached counter or balance limits""",Audiomack Inc.,1000,USD,1499.85,spotflow_accounts,Nigeria,abubakaraboki11@gmail.com,abandoned,4155516104,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,,,2025-11-15T04:10:43Z
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T03:42:33Z,,,,,,,,,,,,,,
5,USD,18.19,ozow,South Africa,cancelled,eft,LIVE,Transaction was cancelled,2025-11-15T03:35:11Z,,,,,,,,,,,,,,
5,USD,18.19,ozow,South Africa,cancelled,eft,LIVE,Transaction was cancelled,2025-11-15T03:34:13Z,,,,,,,,,,,,,,
5,USD,12.63,spotflow_accounts,Ghana,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T03:19:03Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T03:15:37Z,,,,,,,,,,,,,,
17,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T03:04:34Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T02:44:33Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T02:41:40Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T02:40:28Z,,,,,,,,,,,,,,
50,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T02:32:44Z,,,,,,,,,,,,,,
17,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,Transaction Failed,2025-11-15T02:28:43Z,,,,,,,,,,,,,,
16,USD,12.63,hubtel,Ghana,cancelled,mobile_money,LIVE,Please enter the one time password sent to your phone,2025-11-15T02:19:55Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T01:52:52Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T01:44:03Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T01:35:31Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T01:25:19Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T01:23:35Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T01:20:05Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T01:17:50Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T01:17:24Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T01:16:59Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T01:16:23Z,,,,,,,,,,,,,,
100,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T01:16:13Z,,,,,,,,,,,,,,
30,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T01:13:24Z,,,,,,,,,,,,,,
1000,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T01:06:37Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T01:02:40Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T01:02:26Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T00:59:27Z,,,,,,,,,,,,,,
16,USD,12.63,paystack,Ghana,abandoned,card,LIVE,,2025-11-15T00:58:34Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T00:53:35Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T00:51:13Z,,,,,,,,,,,,,,
16,USD,12.63,spotflow_accounts,Ghana,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T00:44:43Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T00:44:01Z,,,,,,,,,,,,,,
45,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T00:43:13Z,,,,,,,,,,,,,,
50,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T00:42:29Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T00:41:50Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T00:41:11Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T00:40:10Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T00:39:21Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T00:37:58Z,,,,,,,,,,,,,,
1,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T00:35:48Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,Please enter the one time password sent to your phone,2025-11-15T00:34:36Z,,,,,,,,,,,,,,
1,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T00:34:07Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T00:28:57Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T00:14:49Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T00:10:25Z,,,,,,,,,,,,,,
30,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T00:08:16Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T00:01:37Z,,,,,,,,,,,,,,
